random_state,beta_E,beta_P,beta_EP,p_value_E,p_value_P,p_value_EP,alpha,var_intercept,var_residual
89,0.001,0.001,0.001,0.9561068371843497,0.604866980882265,0.162609269170791,0.05,0.001828,0.009419212941440758
92,0.001,0.001,0.001,0.3939938486437107,0.5197261872580302,0.04330349328644883,0.05,0.001828,0.009419212941440758
90,0.001,0.001,0.001,0.3321382625305216,0.3338883024066651,0.006942744907736305,0.05,0.001828,0.009419212941440758
91,0.001,0.001,0.001,0.921196966211965,0.7265370155153007,0.2598005406919264,0.05,0.001828,0.009419212941440758
93,0.001,0.001,0.001,0.937627146173382,0.8606403094404083,0.2170067319546154,0.05,0.001828,0.009419212941440758
94,0.001,0.001,0.001,0.750807229802007,0.7693233658666423,0.42011787482591756,0.05,0.001828,0.009419212941440758
95,0.001,0.001,0.001,0.33533004726237337,0.7324162085751516,0.08054129143354478,0.05,0.001828,0.009419212941440758
96,0.001,0.001,0.001,0.9635787021244422,0.37965397828374237,0.3830696457124573,0.05,0.001828,0.009419212941440758
98,0.001,0.001,0.001,0.4569567271203988,0.2165483195541702,0.3125351837789754,0.05,0.001828,0.009419212941440758
97,0.001,0.001,0.001,0.7874540344367563,0.5189005782422167,0.07101046285604902,0.05,0.001828,0.009419212941440758
99,0.001,0.001,0.001,0.7907370772739939,0.21151421345734633,0.40170865331196715,0.05,0.001828,0.009419212941440758
0,0.002,0.002,0.002,0.7354939817927165,0.06912288105662004,0.06773909500148616,0.05,0.001828,0.009419212941440758
1,0.002,0.002,0.002,0.5312619462915156,0.15677638658867693,0.12388680409135061,0.05,0.001828,0.009419212941440758
2,0.002,0.002,0.002,0.4947193587110579,0.025096537857849113,0.28324929539398,0.05,0.001828,0.009419212941440758
3,0.002,0.002,0.002,0.4253210291955839,0.11885496286419675,0.06780683543070025,0.05,0.001828,0.009419212941440758
4,0.002,0.002,0.002,0.6059566523113263,0.0049217993258574904,0.04000251432359856,0.05,0.001828,0.009419212941440758
5,0.002,0.002,0.002,0.11986278566727608,0.41350234841242184,0.0031697458978009463,0.05,0.001828,0.009419212941440758
6,0.002,0.002,0.002,0.10300882571682801,0.30315785830970354,0.010392875963343163,0.05,0.001828,0.009419212941440758
7,0.002,0.002,0.002,0.22458055758435935,0.4833723850550732,0.05265799901291553,0.05,0.001828,0.009419212941440758
8,0.002,0.002,0.002,0.06663581583102977,0.3068961768559876,0.04809579761775623,0.05,0.001828,0.009419212941440758
10,0.002,0.002,0.002,0.122357530013945,0.5696730075743942,0.009310627760672612,0.05,0.001828,0.009419212941440758
11,0.002,0.002,0.002,0.28236102889135684,0.9794560811923715,0.002922734770013809,0.05,0.001828,0.009419212941440758
12,0.002,0.002,0.002,0.1188880528578963,0.4371271128664591,0.003521668423296201,0.05,0.001828,0.009419212941440758
13,0.002,0.002,0.002,0.25158825005069385,0.24030423067852813,0.10250119977046407,0.05,0.001828,0.009419212941440758
16,0.002,0.002,0.002,0.4248680937780801,0.37084891033555356,0.1859773284767814,0.05,0.001828,0.009419212941440758
