author_id,handle,N_tweets,created_at,followers_count,following_count,tweet_count,NG_unreliable_share,NG_score_mean
37086474,baxterstapleton,348,2009-05-02 00:16:23+00:00,1274,2006,5871,0.0,100.0
371508741,mayorsamabed,21,2011-09-11 00:32:49+00:00,798,105,1589,0.0,100.0
373586796,weberfortexas,8,2011-09-14 21:07:08+00:00,1514,173,1067,1.0,57.0
37428082,adamphancock,4,2009-05-03 14:44:45+00:00,232,511,793,,
374816353,mariodbcamp,81,2011-09-17 00:41:42+00:00,3003,2046,464,,
37597359,thezmedia,955,2009-05-04 04:49:28+00:00,1322,2033,7320,0.0,94.32692307692308
37820650,depasqualepa,300,2009-05-05 01:27:36+00:00,12512,743,21726,0.0,95.92105263157895
37824038,dannyoconnor1,296,2009-05-05 01:42:28+00:00,33488,1465,4880,,
380498919,miketurneroh,25,2011-09-26 19:08:06+00:00,2193,408,591,0.5,68.5
3806081652,deborahrossnc,319,2015-10-06 19:02:53+00:00,9936,923,2287,0.0,98.39416058394161
38285038,robinlynnekelly,608,2009-05-06 21:46:47+00:00,8498,5436,9916,0.0196078431372549,92.74509803921569
38421788,anthonyjtristan,198,2009-05-07 12:36:43+00:00,324,185,2269,0.0,93.33333333333333
385111151,rickallen,35,2011-10-04 22:05:54+00:00,4173,1139,1586,,
38531995,droz,1757,2009-05-07 22:20:44+00:00,3856857,854,21210,0.2569444444444444,80.10243055555556
389017497,frankdlucas,4,2011-10-11 18:25:37+00:00,1733,169,340,,
38960144,vgescobar,364,2009-05-10 00:30:04+00:00,33983,2681,11317,0.038461538461538464,97.0
38970940,charliecrist,2779,2009-05-10 01:42:17+00:00,237981,664,8776,0.00684931506849315,94.0
3906922583,cano4nc,636,2015-10-09 07:32:29+00:00,425,671,5296,0.0,98.125
391445643,haleylive,1026,2011-10-15 15:40:39+00:00,32058,2938,15786,0.0,96.85064935064935
39442606,fadde,1913,2009-05-12 05:35:49+00:00,48223,5266,2569,0.0,92.5
395419988,stewartforutah,82,2011-10-21 16:45:05+00:00,3298,1009,1187,0.2916666666666667,80.70833333333333
398193180,jimmygomezca,429,2011-10-25 18:20:38+00:00,18932,3047,11461,0.047058823529411764,93.4235294117647
39843214,rochellemgarza,986,2009-05-13 21:39:02+00:00,77649,15018,2090,0.0,94.72826086956522
39894447,deanbphillips,137,2009-05-14 01:32:09+00:00,15744,1041,1296,0.0,96.875
4018919237,sarahforwi,890,2015-10-22 19:13:06+00:00,36061,1102,3879,0.12658227848101267,88.48101265822785
40264497,cline4virginia,212,2009-05-15 15:37:07+00:00,7250,2069,1561,0.3157894736842105,73.52631578947368
